Date,ICSA,UNRATE,JTSJOL
2020-01-04,224000,3.6,7124
2020-01-11,207000,3.6,7124
2020-01-18,221000,3.6,7124
2020-01-25,210000,3.6,7124
2020-02-01,207000,3.5,6966
2020-02-08,202000,3.5,6966
2020-02-15,209000,3.5,6966
2020-02-22,218000,3.5,6966
2020-02-29,215000,3.5,6966
2020-03-07,208000,4.4,5894
2020-03-14,273000,4.4,5894
2020-03-21,2.914e+06,4.4,5894
2020-03-28,5.946e+06,4.4,5894
2020-04-04,6.137e+06,14.8,4606
2020-04-11,4.869e+06,14.8,4606
2020-04-18,4.201e+06,14.8,4606
2020-04-25,3.446e+06,14.8,4606
2020-05-02,2.796e+06,13.2,5612
2020-05-09,2.335e+06,13.2,5612
2020-05-16,2.176e+06,13.2,5612
2020-05-23,1.921e+06,13.2,5612
2020-05-30,1.639e+06,13.2,5612
2020-06-06,1.575e+06,11,6129
2020-06-13,1.473e+06,11,6129
2020-06-20,1.467e+06,11,6129
2020-06-27,1.446e+06,11,6129
2020-07-04,1.413e+06,10.2,6530
2020-07-11,1.468e+06,10.2,6530
2020-07-18,1.393e+06,10.2,6530
2020-07-25,1.26e+06,10.2,6530
2020-08-01,1.044e+06,8.4,6429
2020-08-08,884000,8.4,6429
2020-08-15,927000,8.4,6429
2020-08-22,876000,8.4,6429
2020-08-29,881000,8.4,6429
2020-09-05,892000,7.8,6511
2020-09-12,861000,7.8,6511
2020-09-19,859000,7.8,6511
2020-09-26,795000,7.8,6511
2020-10-03,785000,6.9,6798
2020-10-10,839000,6.9,6798
2020-10-17,804000,6.9,6798
2020-10-24,776000,6.9,6798
2020-10-31,773000,6.9,6798
2020-11-07,737000,6.7,6820
2020-11-14,738000,6.7,6820
2020-11-21,793000,6.7,6820
2020-11-28,737000,6.7,6820
2020-12-05,873000,6.7,6773
2020-12-12,886000,6.7,6773
2020-12-19,815000,6.7,6773
2020-12-26,773000,6.7,6773
2021-01-02,803000,6.4,7204
2021-01-09,890000,6.4,7204
2021-01-16,844000,6.4,7204
2021-01-23,799000,6.4,7204
2021-01-30,803000,6.4,7204
2021-02-06,812000,6.2,7752
2021-02-13,802000,6.2,7752
2021-02-20,702000,6.2,7752
2021-02-27,704000,6.2,7752
2021-03-06,693000,6.1,8470
2021-03-13,699000,6.1,8470
2021-03-20,627000,6.1,8470
2021-03-27,658000,6.1,8470
2021-04-03,645000,6.1,9356
2021-04-10,571000,6.1,9356
2021-04-17,566000,6.1,9356
2021-04-24,574000,6.1,9356
2021-05-01,517000,5.8,9905
2021-05-08,494000,5.8,9905
2021-05-15,467000,5.8,9905
2021-05-22,441000,5.8,9905
2021-05-29,427000,5.8,9905
2021-06-05,420000,5.9,10298
2021-06-12,428000,5.9,10298
2021-06-19,422000,5.9,10298
2021-06-26,369000,5.9,10298
2021-07-03,371000,5.4,11049
2021-07-10,332000,5.4,11049
2021-07-17,387000,5.4,11049
2021-07-24,380000,5.4,11049
2021-07-31,380000,5.4,11049
2021-08-07,361000,5.1,10956
2021-08-14,368000,5.1,10956
2021-08-21,358000,5.1,10956
2021-08-28,353000,5.1,10956
2021-09-04,337000,4.7,10879
2021-09-11,344000,4.7,10879
2021-09-18,367000,4.7,10879
2021-09-25,374000,4.7,10879
2021-10-02,314000,4.5,11341
2021-10-09,290000,4.5,11341
2021-10-16,290000,4.5,11341
2021-10-23,268000,4.5,11341
2021-10-30,262000,4.5,11341
2021-11-06,251000,4.2,11119
2021-11-13,250000,4.2,11119
2021-11-20,223000,4.2,11119
2021-11-27,222000,4.2,11119
2021-12-04,207000,3.9,11417
2021-12-11,227000,3.9,11417
2021-12-18,215000,3.9,11417
2021-12-25,216000,3.9,11417
2022-01-01,227000,4,11238
2022-01-08,247000,4,11238
2022-01-15,245000,4,11238
2022-01-22,238000,4,11238
2022-01-29,231000,4,11238
2022-02-05,210000,3.8,11661
2022-02-12,234000,3.8,11661
2022-02-19,225000,3.8,11661
2022-02-26,209000,3.8,11661
2022-03-05,222000,3.7,12134
2022-03-12,217000,3.7,12134
2022-03-19,207000,3.7,12134
2022-03-26,214000,3.7,12134
2022-04-02,215000,3.7,11881
2022-04-09,213000,3.7,11881
2022-04-16,209000,3.7,11881
2022-04-23,210000,3.7,11881
2022-04-30,219000,3.7,11881
2022-05-07,204000,3.6,11483
2022-05-14,225000,3.6,11483
2022-05-21,211000,3.6,11483
2022-05-28,200000,3.6,11483
2022-06-04,214000,3.6,11256
2022-06-11,213000,3.6,11256
2022-06-18,215000,3.6,11256
2022-06-25,212000,3.6,11256
2022-07-02,215000,3.5,11610
2022-07-09,212000,3.5,11610
2022-07-16,216000,3.5,11610
2022-07-23,220000,3.5,11610
2022-07-30,228000,3.5,11610
2022-08-06,221000,3.6,10148
2022-08-13,220000,3.6,10148
2022-08-20,215000,3.6,10148
2022-08-27,210000,3.6,10148
2022-09-03,204000,3.5,10812
2022-09-10,197000,3.5,10812
2022-09-17,201000,3.5,10812
2022-09-24,189000,3.5,10812
2022-10-01,204000,3.6,10488
2022-10-08,206000,3.6,10488
2022-10-15,199000,3.6,10488
2022-10-22,201000,3.6,10488
2022-10-29,202000,3.6,10488
2022-11-05,204000,3.6,10619
2022-11-12,210000,3.6,10619
2022-11-19,220000,3.6,10619
2022-11-26,209000,3.6,10619
2022-12-03,209000,3.5,10876
2022-12-10,210000,3.5,10876
2022-12-17,213000,3.5,10876
2022-12-24,204000,3.5,10876
2022-12-31,204000,3.5,10876
2023-01-07,208000,3.5,10393
2023-01-14,203000,3.5,10393
2023-01-21,203000,3.5,10393
2023-01-28,200000,3.5,10393
2023-02-04,215000,3.6,9846
2023-02-11,219000,3.6,9846
2023-02-18,217000,3.6,9846
2023-02-25,209000,3.6,9846
2023-03-04,229000,3.5,9572
2023-03-11,222000,3.5,9572
2023-03-18,230000,3.5,9572
2023-03-25,234000,3.5,9572
2023-04-01,217000,3.4,9992
2023-04-08,219000,3.4,9992
2023-04-15,223000,3.4,9992
2023-04-22,210000,3.4,9992
2023-04-29,214000,3.4,9992
2023-05-06,223000,3.6,9310
2023-05-13,225000,3.6,9310
2023-05-20,227000,3.6,9310
2023-05-27,230000,3.6,9310
2023-06-03,253000,3.6,9191
2023-06-10,258000,3.6,9191
2023-06-17,260000,3.6,9191
2023-06-24,236000,3.6,9191
2023-07-01,248000,3.5,8606
2023-07-08,229000,3.5,8606
2023-07-15,228000,3.5,8606
2023-07-22,231000,3.5,8606
2023-07-29,238000,3.5,8606
2023-08-05,258000,3.7,9287
2023-08-12,248000,3.7,9287
2023-08-19,240000,3.7,9287
2023-08-26,234000,3.7,9287
2023-09-02,227000,3.8,9279
2023-09-09,227000,3.8,9279
2023-09-16,210000,3.8,9279
2023-09-23,215000,3.8,9279
2023-09-30,216000,3.8,9279
2023-10-07,210000,3.9,8550
2023-10-14,200000,3.9,8550
2023-10-21,214000,3.9,8550
2023-10-28,217000,3.9,8550
2023-11-04,216000,3.7,8663
2023-11-11,229000,3.7,8663
2023-11-18,213000,3.7,8663
2023-11-25,214000,3.7,8663
2023-12-02,216000,3.8,8585
2023-12-09,204000,3.8,8585
2023-12-16,209000,3.8,8585
2023-12-23,210000,3.8,8585
2023-12-30,198000,3.8,8585
2024-01-06,199000,3.7,8468
2024-01-13,193000,3.7,8468
2024-01-20,223000,3.7,8468
2024-01-27,225000,3.7,8468
2024-02-03,214000,3.9,8445
2024-02-10,212000,3.9,8445
2024-02-17,203000,3.9,8445
2024-02-24,214000,3.9,8445
2024-03-02,212000,3.9,8093
2024-03-09,213000,3.9,8093
2024-03-16,213000,3.9,8093
2024-03-23,214000,3.9,8093
2024-03-30,223000,3.9,8093
2024-04-06,212000,3.9,7619
2024-04-13,211000,3.9,7619
2024-04-20,209000,3.9,7619
2024-04-27,209000,3.9,7619
2024-05-04,229000,4,7901
2024-05-11,222000,4,7901
2024-05-18,216000,4,7901
2024-05-25,221000,4,7901
2024-06-01,229000,4.1,7412
2024-06-08,241000,4.1,7412
2024-06-15,237000,4.1,7412
2024-06-22,233000,4.1,7412
2024-06-29,238000,4.1,7412
2024-07-06,222000,4.2,7504
2024-07-13,240000,4.2,7504
2024-07-20,236000,4.2,7504
2024-07-27,248000,4.2,7504
2024-08-03,234000,4.2,7649
2024-08-10,228000,4.2,7649
2024-08-17,232000,4.2,7649
2024-08-24,232000,4.2,7649
2024-08-31,228000,4.2,7649
2024-09-07,230000,4.1,7103
2024-09-14,222000,4.1,7103
2024-09-21,221000,4.1,7103
2024-09-28,227000,4.1,7103
2024-10-05,259000,4.1,7615
2024-10-12,240000,4.1,7615
2024-10-19,228000,4.1,7615
2024-10-26,218000,4.1,7615
2024-11-02,221000,4.2,8031
2024-11-09,219000,4.2,8031
2024-11-16,216000,4.2,8031
2024-11-23,216000,4.2,8031
2024-11-30,225000,4.2,8031
2024-12-07,239000,4.1,7508
2024-12-14,222000,4.1,7508
2024-12-21,219000,4.1,7508
2024-12-28,209000,4.1,7508
2025-01-04,205000,4,7762
2025-01-11,217000,4,7762
2025-01-18,222000,4,7762
2025-01-25,210000,4,7762
2025-02-01,222000,4.1,7480
2025-02-08,215000,4.1,7480
2025-02-15,224000,4.1,7480
2025-02-22,243000,4.1,7480
2025-03-01,224000,4.2,7200
2025-03-08,223000,4.2,7200
2025-03-15,225000,4.2,7200
2025-03-22,225000,4.2,7200
2025-03-29,219000,4.2,7200
2025-04-05,224000,4.2,7391
2025-04-12,216000,4.2,7391
2025-04-19,223000,4.2,7391
2025-04-26,241000,4.2,7391
2025-05-03,229000,4.2,7391
2025-05-10,228000,4.2,7391
2025-05-17,226000,4.2,7391
2025-05-24,239000,4.2,7391
2025-05-31,247000,4.2,7391
